Date,Trump,Biden
8/17/2020,3,0
8/20/2020,1,0
8/23/2020,0,0
8/26/2020,3,0
8/29/2020,0,1
9/1/2020,0,3
9/4/2020,0,1
9/7/2020,2,4
9/10/2020,4,5
9/13/2020,5,3
9/16/2020,4,5
9/19/2020,3,1
9/22/2020,4,0
9/25/2020,3,1
9/28/2020,2,8
10/1/2020,4,6
10/4/2020,0,4
